101
81
T [GeV]		muB [GeV]		c0_T4 [fm^3/GeV^3 * GeV^4]
0.100000		0.000000		-0.556556
0.101000		0.000000		-0.529375
0.102000		0.000000		-0.503811
0.103000		0.000000		-0.479750
0.104000		0.000000		-0.457085
0.105000		0.000000		-0.435720
0.106000		0.000000		-0.415566
0.107000		0.000000		-0.396541
0.108000		0.000000		-0.378568
0.109000		0.000000		-0.361579
0.110000		0.000000		-0.345509
0.111000		0.000000		-0.330298
0.112000		0.000000		-0.315892
0.113000		0.000000		-0.302239
0.114000		0.000000		-0.289292
0.115000		0.000000		-0.277008
0.116000		0.000000		-0.265346
0.117000		0.000000		-0.254269
0.118000		0.000000		-0.243742
0.119000		0.000000		-0.233731
0.120000		0.000000		-0.224208
0.121000		0.000000		-0.215144
0.122000		0.000000		-0.206512
0.123000		0.000000		-0.198288
0.124000		0.000000		-0.190450
0.125000		0.000000		-0.182976
0.126000		0.000000		-0.175846
0.127000		0.000000		-0.169042
0.128000		0.000000		-0.162545
0.129000		0.000000		-0.156340
0.130000		0.000000		-0.150412
0.131000		0.000000		-0.144745
0.132000		0.000000		-0.139328
0.133000		0.000000		-0.134146
0.134000		0.000000		-0.129188
0.135000		0.000000		-0.124442
0.136000		0.000000		-0.119899
0.137000		0.000000		-0.115548
0.138000		0.000000		-0.111380
0.139000		0.000000		-0.107386
0.140000		0.000000		-0.103558
0.141000		0.000000		-0.099888
0.142000		0.000000		-0.096368
0.143000		0.000000		-0.092991
0.144000		0.000000		-0.089752
0.145000		0.000000		-0.086642
0.146000		0.000000		-0.083658
0.147000		0.000000		-0.080792
0.148000		0.000000		-0.078039
0.149000		0.000000		-0.075395
0.150000		0.000000		-0.072855
0.151000		0.000000		-0.070414
0.152000		0.000000		-0.068067
0.153000		0.000000		-0.065811
0.154000		0.000000		-0.063642
0.155000		0.000000		-0.061556
0.156000		0.000000		-0.059549
0.157000		0.000000		-0.057618
0.158000		0.000000		-0.055759
0.159000		0.000000		-0.053971
0.160000		0.000000		-0.052249
0.161000		0.000000		-0.050592
0.162000		0.000000		-0.048995
0.163000		0.000000		-0.047458
0.164000		0.000000		-0.045977
0.165000		0.000000		-0.044550
0.166000		0.000000		-0.043175
0.167000		0.000000		-0.041849
0.168000		0.000000		-0.040572
0.169000		0.000000		-0.039340
0.170000		0.000000		-0.038153
0.171000		0.000000		-0.037007
0.172000		0.000000		-0.035903
0.173000		0.000000		-0.034837
0.174000		0.000000		-0.033809
0.175000		0.000000		-0.032817
0.176000		0.000000		-0.031859
0.177000		0.000000		-0.030935
0.178000		0.000000		-0.030042
0.179000		0.000000		-0.029181
0.180000		0.000000		-0.028348
0.181000		0.000000		-0.027545
0.182000		0.000000		-0.026768
0.183000		0.000000		-0.026018
0.184000		0.000000		-0.025293
0.185000		0.000000		-0.024593
0.186000		0.000000		-0.023916
0.187000		0.000000		-0.023261
0.188000		0.000000		-0.022628
0.189000		0.000000		-0.022016
0.190000		0.000000		-0.021424
0.191000		0.000000		-0.020852
0.192000		0.000000		-0.020298
0.193000		0.000000		-0.019762
0.194000		0.000000		-0.019243
0.195000		0.000000		-0.018741
0.196000		0.000000		-0.018255
0.197000		0.000000		-0.017785
0.198000		0.000000		-0.017330
0.199000		0.000000		-0.016889
0.200000		0.000000		-0.016461
0.100000		0.010000		-0.556822
0.101000		0.010000		-0.529623
0.102000		0.010000		-0.504042
0.103000		0.010000		-0.479965
0.104000		0.010000		-0.457285
0.105000		0.010000		-0.435906
0.106000		0.010000		-0.415738
0.107000		0.010000		-0.396700
